"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Login","0","Login","1","0","Login with inactif credentials","0"
"0","Login","0","Login","1","0","Reset password when using  Inactif email","0"
"1","","7","","0","0","","0"
"1","Contract","0","Contract","0","0","Move contract status from valid into Error","0"
"0","Login","0","Login","1","0","Login with invalid credentials","0"
"0","Login","0","Login","1","0","Fails reset password when using wrong email","0"
"1","Contract","0","Contract","0","0","Move contract status from To Renew into Archived","0"
"1","Contract","0","Contract","0","0","Move contract status from Expired into Archived","0"
"1","Contract","0","Contract","0","0","Move contract status from expired into Error","0"
"1","Contract","0","Contract","0","0","Move contract status from Valid into Archived","0"
"1","Contract","0","Contract","0","0","Move contract status from To renew into Error","0"
"0","Login","1","Login","0","0","Login with valid credentials","0"
