"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5250","@P1 @Contact Read contact data from first row","chromium","Sat Nov 22 12:29:20 GMT 2025","passed","Sat Nov 22 12:29:25 GMT 2025","Contacts List tests","contacts/contactsList.spec.ts","",""
"","19628","A2SQA2-2282 | @P0 @Contact Should create Contact for: Buyer","chromium","Sat Nov 22 12:29:50 GMT 2025","passed","Sat Nov 22 12:30:09 GMT 2025","@P0 @Contacts : Profil [Buyer]","contacts/CreateContact.spec.ts","",""
"","31242","A2SQA2-XX | @P1 @Supplier Filter by active contracts","chromium","Sat Nov 22 12:30:50 GMT 2025","broken","Sat Nov 22 12:31:21 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
"","31984","A2SQA2-XX | @P1 @Supplier Filter by country","chromium","Sat Nov 22 12:30:21 GMT 2025","broken","Sat Nov 22 12:30:53 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
"","6681","filtrer par numéro de contrat","chromium","Sat Nov 22 12:29:58 GMT 2025","failed","Sat Nov 22 12:30:04 GMT 2025","","Contracts/ContactList.spec.ts","",""
"","20438","A2SQA2-2278 | @P0 @Contact Should create Contact for: Central Admin","chromium","Sat Nov 22 12:29:29 GMT 2025","passed","Sat Nov 22 12:29:50 GMT 2025","@P0 @Contacts : Profil [Central Admin]","contacts/CreateContact.spec.ts","",""
"","7243","@P1 @Contact Check visible rows in the table","chromium","Sat Nov 22 12:29:13 GMT 2025","passed","Sat Nov 22 12:29:20 GMT 2025","Contacts List tests","contacts/contactsList.spec.ts","",""
"","3151","A2SQA2-2525 | @P1 @Login Sent password Reset correctly with valid email","chromium","Sat Nov 22 12:30:05 GMT 2025","passed","Sat Nov 22 12:30:08 GMT 2025","Reset Password:","login/Forgot-password.spec.ts","",""
"","31342","A2SQA2-XX | @P1 @Supplier Reset filters restores full list","chromium","Sat Nov 22 12:30:52 GMT 2025","broken","Sat Nov 22 12:31:23 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
"","9812","@P1 @Contact Filter by Profil","chromium","Sat Nov 22 12:29:20 GMT 2025","passed","Sat Nov 22 12:29:30 GMT 2025","Contacts Filtering","contacts/contactsList.spec.ts","",""
"","2665","A2SQA2-2523 | @P0 @Login Login with inactif credentials","chromium","Sat Nov 22 12:30:12 GMT 2025","passed","Sat Nov 22 12:30:14 GMT 2025","Login Tests","login/login.spec.ts","",""
"","9432","@P1 @Contact Filter by Surname + profil","chromium","Sat Nov 22 12:29:28 GMT 2025","passed","Sat Nov 22 12:29:37 GMT 2025","Contacts Filtering","contacts/contactsList.spec.ts","",""
"","18811","A2SQA2-2284 | @P0 @Contact Should create Contact for: Supplier","chromium","Sat Nov 22 12:29:55 GMT 2025","failed","Sat Nov 22 12:30:14 GMT 2025","@P0 @Contacts : Profil [Supplier]","contacts/CreateContact.spec.ts","",""
"","8325","@P1 @Contact Filter by Email","chromium","Sat Nov 22 12:29:25 GMT 2025","passed","Sat Nov 22 12:29:33 GMT 2025","Contacts Filtering","contacts/contactsList.spec.ts","",""
"","20085","A2SQA2-2281 | @P0 @Contact Should create Contact for: Business Developer","chromium","Sat Nov 22 12:29:37 GMT 2025","passed","Sat Nov 22 12:29:58 GMT 2025","@P0 @Contacts : Profil [Business Developer]","contacts/CreateContact.spec.ts","",""
"","2322","A2SQA2-2527 | @P0 @Login Reset password when using Inactif email","chromium","Sat Nov 22 12:30:09 GMT 2025","passed","Sat Nov 22 12:30:11 GMT 2025","Reset Password:","login/Forgot-password.spec.ts","",""
"","8993","@P1 @Contact Filter by Surname","chromium","Sat Nov 22 12:29:20 GMT 2025","passed","Sat Nov 22 12:29:29 GMT 2025","Contacts Filtering","contacts/contactsList.spec.ts","",""
"","2385","A2SQA2-2524 | @P0 @Login Login with invalid credentials","chromium","Sat Nov 22 12:30:15 GMT 2025","passed","Sat Nov 22 12:30:17 GMT 2025","Login Tests","login/login.spec.ts","",""
"","7268","A2SQA2-2522 | @P0 @Login Login with valid credentials","chromium","Sat Nov 22 12:30:11 GMT 2025","failed","Sat Nov 22 12:30:18 GMT 2025","Login Tests","login/login.spec.ts","",""
"","6724","@P1 @Contact Display active and inactive icons","chromium","Sat Nov 22 12:29:13 GMT 2025","passed","Sat Nov 22 12:29:19 GMT 2025","Contacts List tests","contacts/contactsList.spec.ts","",""
"","21202","A2SQA2-2279 | @P0 @Contact Should create Contact for: Area Admin","chromium","Sat Nov 22 12:29:30 GMT 2025","passed","Sat Nov 22 12:29:51 GMT 2025","@P0 @Contacts : Profil [Area Admin]","contacts/CreateContact.spec.ts","",""
"","21801","A2SQA2-2280 | @P0 @Contact Should create Contact for: Support","chromium","Sat Nov 22 12:29:33 GMT 2025","passed","Sat Nov 22 12:29:55 GMT 2025","@P0 @Contacts : Profil [Support]","contacts/CreateContact.spec.ts","",""
"","31282","A2SQA2-2546 | @P0 @supplier Create new supplier","chromium","Sat Nov 22 12:30:14 GMT 2025","broken","Sat Nov 22 12:30:45 GMT 2025","Suppliers module","suppliers/createsuplier.spec.ts","",""
