"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31443","Filter by country","chromium","Thu Oct 30 15:02:45 GMT 2025","broken","Thu Oct 30 15:03:16 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
"","8272","@P1 Should contain visible rows in the table","chromium","Thu Oct 30 15:00:46 GMT 2025","failed","Thu Oct 30 15:00:54 GMT 2025","E2E Contacts List tests:","contacts/contactsList.spec.ts","",""
"","2156","A2SQA2-2524 | @P0 @Login should fail when login with invalid credentials","chromium","Thu Oct 30 15:02:06 GMT 2025","passed","Thu Oct 30 15:02:08 GMT 2025","Login Tests","login/login.spec.ts","",""
"","8057","@P1 filtrage par profil","chromium","Thu Oct 30 15:01:20 GMT 2025","failed","Thu Oct 30 15:01:28 GMT 2025","Contacts Filtering","contacts/contactsList.spec.ts","",""
"","31330","Filter by category","chromium","Thu Oct 30 15:03:12 GMT 2025","broken","Thu Oct 30 15:03:43 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
"","7696","@P1 Should display translated success message after export","chromium","Thu Oct 30 15:01:12 GMT 2025","failed","Thu Oct 30 15:01:20 GMT 2025","Contacts Export Message","contacts/contactsList.spec.ts","",""
"","31475","Filter by code - valid supplier","chromium","Thu Oct 30 15:02:13 GMT 2025","broken","Thu Oct 30 15:02:44 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
"","7642","A2SQA2-2522 | @P0 @Login Should login successfully with valid credentials","chromium","Thu Oct 30 15:02:04 GMT 2025","failed","Thu Oct 30 15:02:12 GMT 2025","Login Tests","login/login.spec.ts","",""
"","8014","A2SQA2-2283 | @P0 @Contact Should create Contact for: client","chromium","Thu Oct 30 15:01:48 GMT 2025","failed","Thu Oct 30 15:01:56 GMT 2025","@P0 @Contacts : Profil [client]","contacts/CreateContact.spec.ts","",""
"","8063","@P1 should open contact detail page by name","chromium","Thu Oct 30 15:01:03 GMT 2025","failed","Thu Oct 30 15:01:12 GMT 2025","E2E Contacts List tests:","contacts/contactsList.spec.ts","",""
"","7916","A2SQA2-2278 | @P0 @Contact Should create Contact for: Central Admin","chromium","Thu Oct 30 15:01:29 GMT 2025","failed","Thu Oct 30 15:01:37 GMT 2025","@P0 @Contacts : Profil [Central Admin]","contacts/CreateContact.spec.ts","",""
"","31237","Filter by name - partial match","chromium","Thu Oct 30 15:02:40 GMT 2025","broken","Thu Oct 30 15:03:11 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
"","7961","@P1 should display Show and Edit buttons","chromium","Thu Oct 30 15:00:54 GMT 2025","failed","Thu Oct 30 15:01:02 GMT 2025","E2E Contacts List tests:","contacts/contactsList.spec.ts","",""
"","7823","A2SQA2-2282 | @P0 @Contact Should create Contact for: Buyer","chromium","Thu Oct 30 15:01:47 GMT 2025","failed","Thu Oct 30 15:01:54 GMT 2025","@P0 @Contacts : Profil [Buyer]","contacts/CreateContact.spec.ts","",""
"","31439","Filter by active contracts","chromium","Thu Oct 30 15:03:17 GMT 2025","broken","Thu Oct 30 15:03:48 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
"","2794","A2SQA2-2525 | @P0 @Login Should sent password Reset correctly with valid email","chromium","Thu Oct 30 15:01:57 GMT 2025","passed","Thu Oct 30 15:02:00 GMT 2025","Mot de passe oublié:","login/Forgot-password.spec.ts","",""
"","2221","A2SQA2-2523 | @P0 @Login Should fail when login with inactif credentials","chromium","Thu Oct 30 15:02:04 GMT 2025","passed","Thu Oct 30 15:02:06 GMT 2025","Login Tests","login/login.spec.ts","",""
"","1957","A2SQA2-2527 | @P0 @Login Should not reset password when using Inactif email","chromium","Thu Oct 30 15:02:00 GMT 2025","passed","Thu Oct 30 15:02:02 GMT 2025","Mot de passe oublié:","login/Forgot-password.spec.ts","",""
"","7983","@P1 Should display active and inactive icons","chromium","Thu Oct 30 15:00:55 GMT 2025","failed","Thu Oct 30 15:01:03 GMT 2025","E2E Contacts List tests:","contacts/contactsList.spec.ts","",""
"","2085","A2SQA2-2526 | @P0 @Login Should not reset password when using wrong email","chromium","Thu Oct 30 15:02:02 GMT 2025","passed","Thu Oct 30 15:02:04 GMT 2025","Mot de passe oublié:","login/Forgot-password.spec.ts","",""
"","8340","@P1 filtrage par prénom","chromium","Thu Oct 30 15:01:12 GMT 2025","failed","Thu Oct 30 15:01:21 GMT 2025","Contacts Filtering","contacts/contactsList.spec.ts","",""
"","8295","A2SQA2-2284 | @P0 @Contact Should create Contact for: Supplier","chromium","Thu Oct 30 15:01:55 GMT 2025","failed","Thu Oct 30 15:02:03 GMT 2025","@P0 @Contacts : Profil [Supplier]","contacts/CreateContact.spec.ts","",""
"","31335","Reset filters restores full list","chromium","Thu Oct 30 15:03:44 GMT 2025","broken","Thu Oct 30 15:04:15 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
"","7982","@P1 Should read contact data from first row","chromium","Thu Oct 30 15:01:03 GMT 2025","failed","Thu Oct 30 15:01:11 GMT 2025","E2E Contacts List tests:","contacts/contactsList.spec.ts","",""
"","8127","A2SQA2-2280 | @P0 @Contact Should create Contact for: Support","chromium","Thu Oct 30 15:01:38 GMT 2025","failed","Thu Oct 30 15:01:46 GMT 2025","@P0 @Contacts : Profil [Support]","contacts/CreateContact.spec.ts","",""
"","7971","@P1 Should display translated column headers","chromium","Thu Oct 30 15:00:46 GMT 2025","failed","Thu Oct 30 15:00:54 GMT 2025","E2E Contacts List tests:","contacts/contactsList.spec.ts","",""
"","31336","Create new supplier","chromium","Thu Oct 30 15:02:08 GMT 2025","broken","Thu Oct 30 15:02:40 GMT 2025","Suppliers module","suppliers/createsuplier.spec.ts","",""
"","8151","@P1 filtrage combiné prénom + profile","chromium","Thu Oct 30 15:01:21 GMT 2025","failed","Thu Oct 30 15:01:30 GMT 2025","Contacts Filtering","contacts/contactsList.spec.ts","",""
"","8134","A2SQA2-2281 | @P0 @Contact Should create Contact for: Business Developer","chromium","Thu Oct 30 15:01:39 GMT 2025","failed","Thu Oct 30 15:01:47 GMT 2025","@P0 @Contacts : Profil [Business Developer]","contacts/CreateContact.spec.ts","",""
"","8090","A2SQA2-2279 | @P0 @Contact Should create Contact for: Area Admin","chromium","Thu Oct 30 15:01:30 GMT 2025","failed","Thu Oct 30 15:01:38 GMT 2025","@P0 @Contacts : Profil [Area Admin]","contacts/CreateContact.spec.ts","",""
