"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9885","@P1 @Contact Check visible rows in the table","chromium","Wed Nov 19 10:06:09 GMT 2025","failed","Wed Nov 19 10:06:19 GMT 2025","Contacts List tests","contacts/contactsList.spec.ts","",""
"","9659","@P1 @Contact Read contact data from first row","chromium","Wed Nov 19 10:06:20 GMT 2025","failed","Wed Nov 19 10:06:29 GMT 2025","Contacts List tests","contacts/contactsList.spec.ts","",""
"","8143","A2SQA2-2280 | @P0 @Contact Should create Contact for: Support","chromium","Wed Nov 19 10:06:41 GMT 2025","failed","Wed Nov 19 10:06:49 GMT 2025","@P0 @Contacts : Profil [Support]","contacts/CreateContact.spec.ts","",""
"","8266","A2SQA2-2522 | @P0 @Login Login with valid credentials","chromium","Wed Nov 19 10:06:55 GMT 2025","failed","Wed Nov 19 10:07:03 GMT 2025","Login Tests","login/login.spec.ts","",""
"","9939","@P1 @Contact Filter by Surname","chromium","Wed Nov 19 10:06:20 GMT 2025","failed","Wed Nov 19 10:06:30 GMT 2025","Contacts Filtering","contacts/contactsList.spec.ts","",""
"","2121","A2SQA2-2526 | @P0 @Login Fails reset password when using wrong email","chromium","Wed Nov 19 10:06:55 GMT 2025","passed","Wed Nov 19 10:06:57 GMT 2025","Reset Password:","login/Forgot-password.spec.ts","",""
"","8458","A2SQA2-2284 | @P0 @Contact Should create Contact for: Supplier","chromium","Wed Nov 19 10:06:50 GMT 2025","failed","Wed Nov 19 10:06:58 GMT 2025","@P0 @Contacts : Profil [Supplier]","contacts/CreateContact.spec.ts","",""
"","31975","A2SQA2-XX | @P1 @Supplier Filter by active contracts","chromium","Wed Nov 19 10:07:32 GMT 2025","broken","Wed Nov 19 10:08:04 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
"","9333","A2SQA2-2283 | @P0 @Contact Should create Contact for: client","chromium","Wed Nov 19 10:06:42 GMT 2025","failed","Wed Nov 19 10:06:51 GMT 2025","@P0 @Contacts : Profil [client]","contacts/CreateContact.spec.ts","",""
"","2678","A2SQA2-2525 | @P1 @Login Sent password Reset correctly with valid email","chromium","Wed Nov 19 10:06:52 GMT 2025","passed","Wed Nov 19 10:06:55 GMT 2025","Reset Password:","login/Forgot-password.spec.ts","",""
"","9353","@P1 @Contact Display translated success message after export","chromium","Wed Nov 19 10:06:20 GMT 2025","failed","Wed Nov 19 10:06:29 GMT 2025","Contacts Export Message","contacts/contactsList.spec.ts","",""
"","31761","A2SQA2-2546 | @P0 @supplier Create new supplier","chromium","Wed Nov 19 10:06:59 GMT 2025","broken","Wed Nov 19 10:07:31 GMT 2025","Suppliers module","suppliers/createsuplier.spec.ts","",""
"","31806","A2SQA2-XX | @P1 @Supplier Filter by name - partial match","chromium","Wed Nov 19 10:07:01 GMT 2025","broken","Wed Nov 19 10:07:33 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
"","31814","A2SQA2-XX | @P1 @Supplier Filter by category","chromium","Wed Nov 19 10:07:32 GMT 2025","broken","Wed Nov 19 10:08:04 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
"","8629","A2SQA2-2281 | @P0 @Contact Should create Contact for: Business Developer","chromium","Wed Nov 19 10:06:41 GMT 2025","failed","Wed Nov 19 10:06:49 GMT 2025","@P0 @Contacts : Profil [Business Developer]","contacts/CreateContact.spec.ts","",""
"","9623","@P1 @Contact Filter by Profil","chromium","Wed Nov 19 10:06:20 GMT 2025","failed","Wed Nov 19 10:06:30 GMT 2025","Contacts Filtering","contacts/contactsList.spec.ts","",""
"","9394","@P1 @Contact Display Show and Edit buttons","chromium","Wed Nov 19 10:06:09 GMT 2025","failed","Wed Nov 19 10:06:18 GMT 2025","Contacts List tests","contacts/contactsList.spec.ts","",""
"","9457","A2SQA2-2278 | @P0 @Contact Should create Contact for: Central Admin","chromium","Wed Nov 19 10:06:31 GMT 2025","failed","Wed Nov 19 10:06:40 GMT 2025","@P0 @Contacts : Profil [Central Admin]","contacts/CreateContact.spec.ts","",""
"","2524","A2SQA2-2524 | @P0 @Login Login with invalid credentials","chromium","Wed Nov 19 10:06:58 GMT 2025","passed","Wed Nov 19 10:07:01 GMT 2025","Login Tests","login/login.spec.ts","",""
"","8830","@P1 @Contact Filter by Email","chromium","Wed Nov 19 10:06:30 GMT 2025","failed","Wed Nov 19 10:06:39 GMT 2025","Contacts Filtering","contacts/contactsList.spec.ts","",""
"","6903","filtrer par numéro de contrat","chromium","Wed Nov 19 10:06:50 GMT 2025","failed","Wed Nov 19 10:06:57 GMT 2025","","Contracts/ContactList.spec.ts","",""
"","9373","@P1 @Contact Display active and inactive icons","chromium","Wed Nov 19 10:06:09 GMT 2025","failed","Wed Nov 19 10:06:18 GMT 2025","Contacts List tests","contacts/contactsList.spec.ts","",""
"","9702","@P1 @Contact Display translated column headers","chromium","Wed Nov 19 10:06:09 GMT 2025","failed","Wed Nov 19 10:06:19 GMT 2025","Contacts List tests","contacts/contactsList.spec.ts","",""
"","9229","A2SQA2-2279 | @P0 @Contact Should create Contact for: Area Admin","chromium","Wed Nov 19 10:06:31 GMT 2025","failed","Wed Nov 19 10:06:40 GMT 2025","@P0 @Contacts : Profil [Area Admin]","contacts/CreateContact.spec.ts","",""
"","9283","A2SQA2-2282 | @P0 @Contact Should create Contact for: Buyer","chromium","Wed Nov 19 10:06:41 GMT 2025","failed","Wed Nov 19 10:06:51 GMT 2025","@P0 @Contacts : Profil [Buyer]","contacts/CreateContact.spec.ts","",""
